,category,gene_program,p_h0,p_h1,log_bayes_factor
0,1,Add-on_29_GP,0.008591942411286649,0.9914080575887133,-4.748301377776096
1,1,Prostaglandin E2_metabolite_enzyme_sensor_GP,0.028856655819848868,0.9711433441801511,-3.5161334120029464
2,1,IFNA21_ligand_receptor_GP,0.03346601949566177,0.9665339805043383,-3.363185875685634
3,1,Apod_ligand_receptor_target_gene_GP,0.9642035998520416,0.035796400147958374,3.2934551416250097
4,1,Zpbp2_ligand_receptor_target_gene_GP,0.9626678195598859,0.037332180440114104,3.249852707840119
5,1,Phosphate_metabolite_enzyme_sensor_GP,0.03770698759010884,0.9622930124098912,-3.239473566470748
6,1,ETV5_ligand_receptor_GP,0.041205909800637916,0.9587940901993621,-3.147094650939242
7,1,ICOSLG_ligand_receptor_GP,0.05674737023964109,0.943252629760359,-2.8107248309038635
8,1,TP53_ligand_receptor_GP,0.06409374126814919,0.9359062587318508,-2.6811686014830696
9,1,S100A12_ligand_receptor_GP,0.0664,0.9336,-2.643351024475969
10,1,Alkal2_ligand_receptor_target_gene_GP,0.0693369236294472,0.9306630763705528,-2.596919744615798
11,1,FGF8_ligand_receptor_GP,0.9293975986823009,0.07060240131769913,2.5774724759861494
12,1,PCNA_ligand_receptor_GP,0.9285510175855605,0.07144898241443953,2.5646416631630147
13,1,IL4R_ligand_receptor_GP,0.0735,0.9265,-2.534128639494097
14,1,B2m_ligand_receptor_target_gene_GP,0.9191885537050579,0.08081144629494208,2.431372656432528
15,1,Naaladl1_ligand_receptor_target_gene_GP,0.9180815869777327,0.08191841302226732,2.416562472546886
16,1,Adipoq_ligand_receptor_target_gene_GP,0.9177436581334114,0.08225634186658859,2.412077620674707
17,1,CD52_ligand_receptor_GP,0.0873100938545337,0.9126899061454663,-2.3469301013373154
18,1,Il7_ligand_receptor_target_gene_GP,0.08815896958147626,0.9118410304185237,-2.336324008833037
