[True, False, True]
Run timestamp: 05102023_213259_9.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.015625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '100.0', '--lambda_l1_addon', '100.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_9']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8855; val_auprc_score: 0.9802; val_best_acc_score: 0.9181; val_best_f1_score: 0.9551; train_kl_reg_loss: 16670.3848; train_edge_recon_loss: 649107.6971; train_cat_covariates_contrastive_loss: 949008.6723; train_gene_expr_recon_loss: 2760750.2590; train_masked_gp_l1_reg_loss: 12969.5304; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 29976.6735; train_global_loss: 4418483.2160; train_optim_loss: 4418483.2160; val_kl_reg_loss: 18286.3446; val_edge_recon_loss: 650290.4248; val_cat_covariates_contrastive_loss: 952269.5345; val_gene_expr_recon_loss: 2522185.5455; val_masked_gp_l1_reg_loss: 13632.5498; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 16436.9453; val_global_loss: 4173101.3480; val_optim_loss: 4173101.3480
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8966; val_auprc_score: 0.9818; val_best_acc_score: 0.9211; val_best_f1_score: 0.9565; train_kl_reg_loss: 21596.3679; train_edge_recon_loss: 626797.8638; train_cat_covariates_contrastive_loss: 952244.0724; train_gene_expr_recon_loss: 2404350.4926; train_masked_gp_l1_reg_loss: 16323.3387; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 16950.4247; train_global_loss: 4038262.5607; train_optim_loss: 4038262.5607; val_kl_reg_loss: 23457.2728; val_edge_recon_loss: 646281.4302; val_cat_covariates_contrastive_loss: 953465.9579; val_gene_expr_recon_loss: 2323198.0401; val_masked_gp_l1_reg_loss: 18496.2637; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 17401.6152; val_global_loss: 3982300.4437; val_optim_loss: 3982300.4437
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9086; val_auprc_score: 0.9841; val_best_acc_score: 0.9246; val_best_f1_score: 0.9582; train_kl_reg_loss: 24216.4089; train_edge_recon_loss: 624027.3104; train_cat_covariates_contrastive_loss: 953024.4624; train_gene_expr_recon_loss: 2283952.3190; train_masked_gp_l1_reg_loss: 19484.5983; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 17797.9420; train_global_loss: 3922503.0414; train_optim_loss: 3922503.0414; val_kl_reg_loss: 23653.7105; val_edge_recon_loss: 637323.2850; val_cat_covariates_contrastive_loss: 954665.5019; val_gene_expr_recon_loss: 2248195.4931; val_masked_gp_l1_reg_loss: 20561.2734; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 17870.8887; val_global_loss: 3902270.2485; val_optim_loss: 3902270.2485
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9095; val_auprc_score: 0.9829; val_best_acc_score: 0.9294; val_best_f1_score: 0.9608; train_kl_reg_loss: 25054.3774; train_edge_recon_loss: 622433.8843; train_cat_covariates_contrastive_loss: 953037.5283; train_gene_expr_recon_loss: 2227866.0687; train_masked_gp_l1_reg_loss: 21545.5954; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18045.5034; train_global_loss: 3867982.9605; train_optim_loss: 3867982.9605; val_kl_reg_loss: 23745.8231; val_edge_recon_loss: 648833.0953; val_cat_covariates_contrastive_loss: 954130.9917; val_gene_expr_recon_loss: 2205010.2446; val_masked_gp_l1_reg_loss: 22320.3574; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18156.9785; val_global_loss: 3872197.4136; val_optim_loss: 3872197.4136
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9194; val_auprc_score: 0.9856; val_best_acc_score: 0.9306; val_best_f1_score: 0.9615; train_kl_reg_loss: 26068.0321; train_edge_recon_loss: 619748.1398; train_cat_covariates_contrastive_loss: 953413.3472; train_gene_expr_recon_loss: 2193917.5769; train_masked_gp_l1_reg_loss: 22762.2147; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18271.6412; train_global_loss: 3834180.9540; train_optim_loss: 3834180.9540; val_kl_reg_loss: 26569.5733; val_edge_recon_loss: 634784.8035; val_cat_covariates_contrastive_loss: 954226.3870; val_gene_expr_recon_loss: 2179442.3638; val_masked_gp_l1_reg_loss: 23110.1523; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18358.8633; val_global_loss: 3836492.1281; val_optim_loss: 3836492.1281
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9138; val_auprc_score: 0.9842; val_best_acc_score: 0.9282; val_best_f1_score: 0.9601; train_kl_reg_loss: 251797.6932; train_edge_recon_loss: 619636.4661; train_cat_covariates_contrastive_loss: 954102.4399; train_gene_expr_recon_loss: 2204549.8286; train_masked_gp_l1_reg_loss: 26903.3212; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18531.4240; train_global_loss: 4075521.1849; train_optim_loss: 4075521.1849; val_kl_reg_loss: 30510.7436; val_edge_recon_loss: 643484.5169; val_cat_covariates_contrastive_loss: 953117.7359; val_gene_expr_recon_loss: 2170558.7666; val_masked_gp_l1_reg_loss: 21929.5840; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18336.0312; val_global_loss: 3837937.2631; val_optim_loss: 3837937.2631
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9261; val_auprc_score: 0.9872; val_best_acc_score: 0.9321; val_best_f1_score: 0.9622; train_kl_reg_loss: 30723.2802; train_edge_recon_loss: 619618.7382; train_cat_covariates_contrastive_loss: 954919.9022; train_gene_expr_recon_loss: 2166052.0105; train_masked_gp_l1_reg_loss: 22118.9144; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18443.7093; train_global_loss: 3811876.5577; train_optim_loss: 3811876.5577; val_kl_reg_loss: 28523.4375; val_edge_recon_loss: 628930.9894; val_cat_covariates_contrastive_loss: 958685.6898; val_gene_expr_recon_loss: 2161023.2581; val_masked_gp_l1_reg_loss: 22360.7539; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18577.5703; val_global_loss: 3818101.6211; val_optim_loss: 3818101.6211
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9275; val_auprc_score: 0.9874; val_best_acc_score: 0.9297; val_best_f1_score: 0.9609; train_kl_reg_loss: 30753.3052; train_edge_recon_loss: 617399.7283; train_cat_covariates_contrastive_loss: 954965.7270; train_gene_expr_recon_loss: 2152466.9492; train_masked_gp_l1_reg_loss: 22623.7172; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18630.0978; train_global_loss: 3796839.5229; train_optim_loss: 3796839.5229; val_kl_reg_loss: 29897.3573; val_edge_recon_loss: 638443.7854; val_cat_covariates_contrastive_loss: 958690.4649; val_gene_expr_recon_loss: 2143824.1640; val_masked_gp_l1_reg_loss: 22679.7324; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18677.1094; val_global_loss: 3812212.5231; val_optim_loss: 3812212.5231
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9240; val_auprc_score: 0.9864; val_best_acc_score: 0.9298; val_best_f1_score: 0.9608; train_kl_reg_loss: 31571.1624; train_edge_recon_loss: 618693.2153; train_cat_covariates_contrastive_loss: 955044.2991; train_gene_expr_recon_loss: 2141542.8791; train_masked_gp_l1_reg_loss: 22958.1610; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18841.1003; train_global_loss: 3788650.8199; train_optim_loss: 3788650.8199; val_kl_reg_loss: 31311.7262; val_edge_recon_loss: 642631.7607; val_cat_covariates_contrastive_loss: 957812.1603; val_gene_expr_recon_loss: 2139390.6281; val_masked_gp_l1_reg_loss: 23441.8555; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19040.1973; val_global_loss: 3813628.2793; val_optim_loss: 3813628.2793
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9089; val_auprc_score: 0.9829; val_best_acc_score: 0.9268; val_best_f1_score: 0.9592; train_kl_reg_loss: 32453.1877; train_edge_recon_loss: 619524.8511; train_cat_covariates_contrastive_loss: 955484.1820; train_gene_expr_recon_loss: 2132409.7210; train_masked_gp_l1_reg_loss: 23279.5565; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19083.7592; train_global_loss: 3782235.2632; train_optim_loss: 3782235.2632; val_kl_reg_loss: 35975.8644; val_edge_recon_loss: 645202.1670; val_cat_covariates_contrastive_loss: 952687.0899; val_gene_expr_recon_loss: 2132950.3970; val_masked_gp_l1_reg_loss: 23759.8477; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19319.1777; val_global_loss: 3809894.5123; val_optim_loss: 3809894.5123
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9164; val_auprc_score: 0.9846; val_best_acc_score: 0.9315; val_best_f1_score: 0.9619; train_kl_reg_loss: 4665035.0192; train_edge_recon_loss: 657427.4332; train_cat_covariates_contrastive_loss: 956327.3086; train_gene_expr_recon_loss: 3406732.7245; train_masked_gp_l1_reg_loss: 86790.3845; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 58800.3108; train_global_loss: 9831113.4020; train_optim_loss: 9831113.4020; val_kl_reg_loss: 40797.8947; val_edge_recon_loss: 641695.3442; val_cat_covariates_contrastive_loss: 954320.3193; val_gene_expr_recon_loss: 2180841.6046; val_masked_gp_l1_reg_loss: 48707.3906; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 31151.8398; val_global_loss: 3897514.4151; val_optim_loss: 3897514.4151
