[True, False, True]
Run timestamp: 05102023_213259_5.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.0078125', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_5']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8675; val_auprc_score: 0.9748; val_best_acc_score: 0.9163; val_best_f1_score: 0.9540; train_kl_reg_loss: 15963.4757; train_edge_recon_loss: 644045.5619; train_cat_covariates_contrastive_loss: 949030.1912; train_gene_expr_recon_loss: 2633649.8581; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4242689.0904; train_optim_loss: 4242689.0904; val_kl_reg_loss: 18922.5707; val_edge_recon_loss: 656817.9051; val_cat_covariates_contrastive_loss: 948043.2450; val_gene_expr_recon_loss: 2310336.0386; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3934119.7554; val_optim_loss: 3934119.7554
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8909; val_auprc_score: 0.9788; val_best_acc_score: 0.9241; val_best_f1_score: 0.9581; train_kl_reg_loss: 19667.2877; train_edge_recon_loss: 623668.4973; train_cat_covariates_contrastive_loss: 949289.5062; train_gene_expr_recon_loss: 2202216.0101; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3794841.3004; train_optim_loss: 3794841.3004; val_kl_reg_loss: 21161.7170; val_edge_recon_loss: 648564.7995; val_cat_covariates_contrastive_loss: 947187.2328; val_gene_expr_recon_loss: 2118765.6844; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3735679.4336; val_optim_loss: 3735679.4336
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9061; val_auprc_score: 0.9823; val_best_acc_score: 0.9288; val_best_f1_score: 0.9607; train_kl_reg_loss: 20523.7183; train_edge_recon_loss: 617051.0840; train_cat_covariates_contrastive_loss: 948955.0877; train_gene_expr_recon_loss: 2091181.0286; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3677710.9182; train_optim_loss: 3677710.9182; val_kl_reg_loss: 20068.5413; val_edge_recon_loss: 637213.1284; val_cat_covariates_contrastive_loss: 948659.5204; val_gene_expr_recon_loss: 2060728.7203; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3666669.9167; val_optim_loss: 3666669.9167
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9114; val_auprc_score: 0.9836; val_best_acc_score: 0.9327; val_best_f1_score: 0.9628; train_kl_reg_loss: 20937.0984; train_edge_recon_loss: 614700.4583; train_cat_covariates_contrastive_loss: 948660.8236; train_gene_expr_recon_loss: 2047612.9095; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3631911.2884; train_optim_loss: 3631911.2884; val_kl_reg_loss: 21895.8042; val_edge_recon_loss: 635993.2838; val_cat_covariates_contrastive_loss: 947829.9136; val_gene_expr_recon_loss: 2032706.1346; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3638425.1343; val_optim_loss: 3638425.1343
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9201; val_auprc_score: 0.9855; val_best_acc_score: 0.9357; val_best_f1_score: 0.9644; train_kl_reg_loss: 21281.3645; train_edge_recon_loss: 612719.2871; train_cat_covariates_contrastive_loss: 948586.1665; train_gene_expr_recon_loss: 2023514.4708; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3606101.2865; train_optim_loss: 3606101.2865; val_kl_reg_loss: 20696.6185; val_edge_recon_loss: 635607.9265; val_cat_covariates_contrastive_loss: 950121.8819; val_gene_expr_recon_loss: 2010158.5883; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3616585.0123; val_optim_loss: 3616585.0123
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9172; val_auprc_score: 0.9845; val_best_acc_score: 0.9348; val_best_f1_score: 0.9639; train_kl_reg_loss: 21641.5634; train_edge_recon_loss: 613535.3957; train_cat_covariates_contrastive_loss: 948522.5847; train_gene_expr_recon_loss: 2005773.3313; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3589472.8744; train_optim_loss: 3589472.8744; val_kl_reg_loss: 22672.3785; val_edge_recon_loss: 631876.4805; val_cat_covariates_contrastive_loss: 947702.0349; val_gene_expr_recon_loss: 1995171.1435; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3597422.0332; val_optim_loss: 3597422.0332
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9159; val_auprc_score: 0.9843; val_best_acc_score: 0.9346; val_best_f1_score: 0.9638; train_kl_reg_loss: 21991.3981; train_edge_recon_loss: 611584.7978; train_cat_covariates_contrastive_loss: 948542.6134; train_gene_expr_recon_loss: 1991401.9814; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3573520.7888; train_optim_loss: 3573520.7888; val_kl_reg_loss: 22609.4219; val_edge_recon_loss: 635052.0413; val_cat_covariates_contrastive_loss: 947902.2002; val_gene_expr_recon_loss: 1984890.3198; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3590453.9807; val_optim_loss: 3590453.9807
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9228; val_auprc_score: 0.9854; val_best_acc_score: 0.9378; val_best_f1_score: 0.9655; train_kl_reg_loss: 22343.4886; train_edge_recon_loss: 610295.1117; train_cat_covariates_contrastive_loss: 948571.8709; train_gene_expr_recon_loss: 1978627.5392; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3559838.0084; train_optim_loss: 3559838.0084; val_kl_reg_loss: 23339.3492; val_edge_recon_loss: 638687.9974; val_cat_covariates_contrastive_loss: 947727.1784; val_gene_expr_recon_loss: 1975701.3769; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3585455.9028; val_optim_loss: 3585455.9028
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9246; val_auprc_score: 0.9860; val_best_acc_score: 0.9381; val_best_f1_score: 0.9657; train_kl_reg_loss: 22629.6473; train_edge_recon_loss: 609946.0430; train_cat_covariates_contrastive_loss: 948711.5608; train_gene_expr_recon_loss: 1967383.6073; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3548670.8557; train_optim_loss: 3548670.8557; val_kl_reg_loss: 22588.0744; val_edge_recon_loss: 634648.7190; val_cat_covariates_contrastive_loss: 948950.0276; val_gene_expr_recon_loss: 1960427.7658; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3566614.5779; val_optim_loss: 3566614.5779
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9240; val_auprc_score: 0.9857; val_best_acc_score: 0.9394; val_best_f1_score: 0.9664; train_kl_reg_loss: 22958.0498; train_edge_recon_loss: 609386.5069; train_cat_covariates_contrastive_loss: 948737.1125; train_gene_expr_recon_loss: 1960362.6371; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3541444.3067; train_optim_loss: 3541444.3067; val_kl_reg_loss: 23815.9977; val_edge_recon_loss: 632521.3168; val_cat_covariates_contrastive_loss: 947642.5044; val_gene_expr_recon_loss: 1956785.6505; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3560765.4645; val_optim_loss: 3560765.4645
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9269; val_auprc_score: 0.9869; val_best_acc_score: 0.9379; val_best_f1_score: 0.9656; train_kl_reg_loss: 23101.4521; train_edge_recon_loss: 610561.7870; train_cat_covariates_contrastive_loss: 948733.7306; train_gene_expr_recon_loss: 1953650.4247; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3536047.3955; train_optim_loss: 3536047.3955; val_kl_reg_loss: 22217.8387; val_edge_recon_loss: 632298.9123; val_cat_covariates_contrastive_loss: 951329.8420; val_gene_expr_recon_loss: 1947026.4703; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3552873.0687; val_optim_loss: 3552873.0687
